modified_1,modified_2,object1,object2,labels,ending,qid,result
A sparrow was very fickle.,A rock was very fickle.,a sparrow,a rock,0,0,1,1
A sparrow was very stable.,A rock was very stable.,a sparrow,a rock,1,1,1,0
A church was very peaceful.,A battlefield was very peaceful.,a church,a battlefield,0,0,3,1
"A church was full of conflict and danger, not peace.","A battlefield was full of conflict and danger, not peace.",a church,a battlefield,1,1,3,1
Grass were very green,Dirt were very green,grass,dirt,0,0,4,0
Grass were brown and not green at all.,Dirt were brown and not green at all.,grass,dirt,1,1,4,1
An amputation on the wrong limb is the wrong solution to a problem,An amputation to save your life is the wrong solution to a problem,an amputation on the wrong limb,an amputation to save your life,0,0,8,0
An amputation on the wrong limb is a necessary solution,An amputation to save your life is a necessary solution,an amputation on the wrong limb,an amputation to save your life,1,1,8,1
Grass's fairy green,Grass's fairy green,grass ,grass ,0,0,12,1
Grass's not too green,Grass's not too green,grass ,grass ,1,1,12,0
A siren was very loud.,A whisper was very loud.,a siren,a whisper,0,0,15,1
A siren was very quiet.,A whisper was very quiet.,a siren,a whisper,1,1,15,1
A human flying is impossible,A human walking is impossible,a human flying,a human walking,0,0,18,0
A human flying is possible,A human walking is possible,a human flying,a human walking,1,1,18,1
A one eyed rat was hideous,A swan was hideous,a one eyed rat,a swan,0,0,21,1
A one eyed rat was beautiful,A swan was beautiful,a one eyed rat,a swan,1,1,21,0
A prince was good looking,A hobo was good looking,a prince,a hobo,0,0,23,0
A prince was ugly,A hobo was ugly,a prince,a hobo,1,1,23,1
A mother holding a baby held it with pride and care,A playboy holding a condom held it with pride and care,a mother holding a baby,a playboy holding a condom,0,0,28,1
A mother holding a baby held it with disgust and caution,A playboy holding a condom held it with disgust and caution,a mother holding a baby,a playboy holding a condom,1,1,28,0
A lion was starving,A piece of paper was starving,a lion,a piece of paper,0,0,41,1
A lion didn't need food,A piece of paper didn't need food,a lion,a piece of paper,1,1,41,0
Artillery bombardments were heated and antagonistic.,A hug with words were heated and antagonistic.,artillery bombardments,a hug with words,0,0,45,0
Artillery bombardments were friendly.,A hug with words were friendly.,artillery bombardments,a hug with words,1,1,45,0
A nightmare was very disturbing.,A newborn puppy was very disturbing.,a nightmare,a newborn puppy,0,0,48,1
"A nightmare failed to be disturbing, and in fact seemed cute.","A newborn puppy failed to be disturbing, and in fact seemed cute.",a nightmare,a newborn puppy,1,1,48,0
Concrete was very certain of his opinion,A cotton ball was very certain of his opinion,concrete,a cotton ball,0,0,57,1
Concrete was very uncertain of his opinion,A cotton ball was very uncertain of his opinion,concrete,a cotton ball,1,1,57,0
A rainbow has a lot of color.,A sidewalk has a lot of color.,a rainbow,a sidewalk,0,0,65,1
A rainbow was dull and colorless.,A sidewalk was dull and colorless.,a rainbow,a sidewalk,1,1,65,1
A beaver is excited,A sloth is excited,a beaver,a sloth,0,0,69,1
A beaver is bored,A sloth is bored,a beaver,a sloth,1,1,69,0
A babbling drunk is barely running,A roaring lion is barely running,a Babbling drunk,a Roaring lion,0,0,73,0
A babbling drunk is running strong,A roaring lion is running strong,a Babbling drunk,a Roaring lion,1,1,73,1
A russian novel was long.,An airport paperback was long.,a Russian novel,an airport paperback,0,0,81,0
A russian novel was tawdry.,An airport paperback was tawdry.,a Russian novel,an airport paperback,1,1,81,1
A museum was very clean.,A paintball arena was very clean.,a museum,a paintball arena,0,0,84,0
A museum was a mess.,A paintball arena was a mess.,a museum,a paintball arena,1,1,84,1
A secondhand toy weren't fresh.,An early summer morning weren't fresh.,a secondhand toy,an early summer morning,0,0,94,1
A secondhand toy were very fresh.,An early summer morning were very fresh.,a secondhand toy,an early summer morning,1,1,94,1
An execution was not fun,Roller coaster was not fun,an execution,roller coaster,0,0,97,1
An execution was fun,Roller coaster was fun,an execution,roller coaster,1,1,97,0
Pancakes for breakfast was very classic.,A bride wearing purple was very classic.,pancakes for breakfast,a bride wearing purple,0,0,105,1
Pancakes for breakfast wasn't a classic.,A bride wearing purple wasn't a classic.,pancakes for breakfast,a bride wearing purple,1,1,105,1
A quarter was recent,A quarter was recent,A quarter ,A quarter ,0,0,108,1
A quarter was dated.,A quarter was dated.,A quarter ,A quarter ,1,1,108,0
A tree was tall,A footstool was tall,a tree,a footstool,0,0,111,1
A tree was short,A footstool was short,a tree,a footstool,1,1,111,1
A robot is not very joyful.,A dog is not very joyful.,a robot,a dog,0,0,114,0
A robot is very joyful.,A dog is very joyful.,a robot,a dog,1,1,114,1
A canyon is deeply philosophical.,A pothole is deeply philosophical.,A canyon,A pothole,0,0,116,1
A canyon has little substance.,A pothole has little substance.,A canyon,A pothole,1,1,116,1
The movie is expansive in a valley's meaning.,The movie is expansive in a flatland's meaning.,A valley,A flatland,0,0,117,1
A valley lacks depth.,A flatland lacks depth.,A valley,A flatland,1,1,117,0
An elephant was a lumbering clod,A snowflake was a lumbering clod,An elephant,A snowflake,0,0,123,0
An elephant was fragile,A snowflake was fragile,An elephant,A snowflake,1,1,123,1
A fortune 500 company was a wild success.,The 1962 new york mets was a wild success.,a Fortune 500 company,the 1962 New York Mets,0,0,127,1
A fortune 500 company did terribly.,The 1962 new york mets did terribly.,a Fortune 500 company,the 1962 New York Mets,1,1,127,0
A prom queen is elegant,Dish water is elegant,a prom queen,dish water,0,0,137,1
A prom queen is dirty,Dish water is dirty,a prom queen,dish water,1,1,137,1
The sun was luminous,The reflection of a dusty mirror was luminous,the sun,the reflection of a dusty mirror,0,0,141,1
The sun was dull,The reflection of a dusty mirror was dull,the sun,the reflection of a dusty mirror,1,1,141,1
The size of an ape was huge.,The size of an ant was huge.,the size of an ape,the size of an ant,0,0,146,1
