startphrase,ending1,ending2,object,modified_1,modified_2,verb_1,verb_2,labels,qid,result
The girl had the flightiness of a sparrow,The girl was very fickle.,The girl was very stable.,a sparrow,A sparrow was very fickle.,A sparrow was very stable.,was,was,0,1,0
The girl had the flightiness of a rock,The girl was very fickle.,The girl was very stable.,a rock,A rock was very fickle.,A rock was very stable.,was,was,1,1,1
It was as peaceful as a church.,It was very peaceful.,"It was full of conflict and danger, not peace.",a church,A church was very peaceful.,"A church was full of conflict and danger, not peace.",was,was,0,3,1
It was as peaceful as a battlefield.,It was very peaceful.,"It was full of conflict and danger, not peace.",a battlefield,A battlefield was very peaceful.,"A battlefield was full of conflict and danger, not peace.",was,was,1,3,0
The leaves were as green as grass,The leaves were very green,The leaves were brown and not green at all.,grass,Grass were very green,Grass were brown and not green at all.,were,were,0,4,1
The leaves were as green as dirt,The leaves were very green,The leaves were brown and not green at all.,dirt,Dirt were very green,Dirt were brown and not green at all.,were,were,1,4,0
Shopping for groceries is a scavenger hunt with a list created by a lunatic,"Shopping for groceries is a fun, rewarding chore","Shopping for groceries is a crazy, nearly impossible chore",a scavenger hunt with a list created by a lunatic,"A scavenger hunt with a list created by a lunatic is a fun, rewarding chore","A scavenger hunt with a list created by a lunatic is a crazy, nearly impossible chore",is,is,1,6,0
War is an amputation on the wrong limb,War is the wrong solution to a problem,War is a necessary solution,an amputation on the wrong limb,An amputation on the wrong limb is the wrong solution to a problem,An amputation on the wrong limb is a necessary solution,is,is,0,8,0
War is an amputation to save your life,War is the wrong solution to a problem,War is a necessary solution,an amputation to save your life,An amputation to save your life is the wrong solution to a problem,An amputation to save your life is a necessary solution,is,is,1,8,1
It's as green as grass in the spring,It's fairy green,It's not too green,grass ,Grass's fairy green,Grass's not too green,green,green,0,12,0
It's as green as grass during a hot summer,It's fairy green,It's not too green,grass ,Grass's fairy green,Grass's not too green,green,green,1,12,1
This is as peaceful as a sleeping puppy,It's very peaceful,It's not very peaceful,a sleeping puppy,A sleeping puppy's very peaceful,A sleeping puppy's not very peaceful,puppy,'s,0,13,0
The music was loud like a siren.,The music was very loud.,The music was very quiet.,a siren,A siren was very loud.,A siren was very quiet.,was,was,0,15,1
The music was loud like a whisper.,The music was very loud.,The music was very quiet.,a whisper,A whisper was very loud.,A whisper was very quiet.,was,was,1,15,0
Peace is a human flying,Peace is impossible,Peace is possible,a human flying,A human flying is impossible,A human flying is possible,is,is,0,18,1
Peace is a human walking,Peace is impossible,Peace is possible,a human walking,A human walking is impossible,A human walking is possible,is,is,1,18,0
Plants are a lullaby,Plants are calming,Plants are disturbing,a lullaby,A lullaby are calming,A lullaby are disturbing,calming,disturbing,0,19,0
The car was as ugly as a one eyed rat,it was hideous,it was beautiful,a one eyed rat,A one eyed rat was hideous,A one eyed rat was beautiful,was,was,0,21,0
The car was as ugly as a swan,it was hideous,it was beautiful,a swan,A swan was hideous,A swan was beautiful,was,was,1,21,1
The man was as handsome as a prince,he was good looking,he was ugly,a prince,A prince was good looking,A prince was ugly,was,was,0,23,0
The man was as handsome as a hobo,he was good looking,he was ugly,a hobo,A hobo was good looking,A hobo was ugly,was,was,1,23,1
The conversation was sharp as a rock,The conversation was sharp and witty.,The conversation was dull and not sharp.,a rock,A rock was sharp and witty.,A rock was dull and not sharp.,was,was,1,25,0
He picked it up like a mother holding a baby,He held it with pride and care,He held it with disgust and caution,a mother holding a baby,A mother holding a baby held it with pride and care,A mother holding a baby held it with disgust and caution,held,held,0,28,1
He picked it up like a playboy holding a condom,He held it with pride and care,He held it with disgust and caution,a playboy holding a condom,A playboy holding a condom held it with pride and care,A playboy holding a condom held it with disgust and caution,held,held,1,28,0
The bear was as hungry as a lion,it was starving,it didn't need food,a lion,A lion was starving,A lion didn't need food,starving,need,0,41,1
The bear was as hungry as a piece of paper,it was starving,it didn't need food,a piece of paper,A piece of paper was starving,A piece of paper didn't need food,starving,need,1,41,0
Their conversations were artillery bombardments.,Their conversations were heated and antagonistic.,Their conversations were friendly.,artillery bombardments,Artillery bombardments were heated and antagonistic.,Artillery bombardments were friendly.,were,were,0,45,0
Their conversations were a hug with words.,Their conversations were heated and antagonistic.,Their conversations were friendly.,a hug with words,A hug with words were heated and antagonistic.,A hug with words were friendly.,were,were,1,45,1
The story was as disturbing as a nightmare,The story was very disturbing.,"The story failed to be disturbing, and in fact seemed cute.",a nightmare,A nightmare was very disturbing.,"A nightmare failed to be disturbing, and in fact seemed cute.",was,failed,0,48,1
The story was as disturbing as a newborn puppy,The story was very disturbing.,"The story failed to be disturbing, and in fact seemed cute.",a newborn puppy,A newborn puppy was very disturbing.,"A newborn puppy failed to be disturbing, and in fact seemed cute.",was,failed,1,48,0
HIs opinions were as firm as concrete,He was very certain of his opinion,He was very uncertain of his opinion,concrete,Concrete was very certain of his opinion,Concrete was very uncertain of his opinion,was,was,0,57,0
HIs opinions were as firm as a cotton ball,He was very certain of his opinion,He was very uncertain of his opinion,a cotton ball,A cotton ball was very certain of his opinion,A cotton ball was very uncertain of his opinion,was,was,1,57,1
The poster was as colorful as a rainbow,The poster has a lot of color.,The poster was dull and colorless.,a rainbow,A rainbow has a lot of color.,A rainbow was dull and colorless.,has,was,0,65,1
The poster was as colorful as a sidewalk,The poster has a lot of color.,The poster was dull and colorless.,a sidewalk,A sidewalk has a lot of color.,A sidewalk was dull and colorless.,has,was,1,65,0
She is as eager as a beaver,she is excited,she is bored,a beaver,A beaver is excited,A beaver is bored,is,bored,0,69,1
She is as eager as a sloth,she is excited,she is bored,a sloth,A sloth is excited,A sloth is bored,is,bored,1,69,1
The motor on the boat is a Babbling drunk,It is barely running,It is running strong,a Babbling drunk,A babbling drunk is barely running,A babbling drunk is running strong,running,running,0,73,0
