startphrase,ending1,ending2,object,modified_1,modified_2,labels,qid
His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,lovers meeting after a long separation,Lovers meeting after a long separation are demonstrative and intense.,Lovers meeting after a long separation is unemotional.,0,11
His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,a couple ,A couple are demonstrative and intense.,A couple is unemotional.,1,11
This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,my mother-in-law towards me,My mother-in-law towards me's very cold,My mother-in-law towards me's pretty warm,0,14
This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,Death Valley ,Death valley's very cold,Death valley's pretty warm,1,14
The dog was as grumpy as an old man,he was mean,he was nice,an old man,An old man was mean,An old man was nice,0,22
The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,a kindergarten teacher,A kindergarten teacher was mean,A kindergarten teacher was nice,1,22
He had all the wealth of a tycoon,He was rich.,He was poor.,a tycoon,A tycoon was rich.,A tycoon was poor.,0,26
He had all the wealth of a hobo,He was rich.,He was poor.,a hobo,A hobo was rich.,A hobo was poor.,1,26
It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,a freshly baked cookies on Christmas morning,A freshly baked cookies on christmas morning smells great,A freshly baked cookies on christmas morning smells awful,0,31
It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,a cesspool sitting in the hot sun,A cesspool sitting in the hot sun smells great,A cesspool sitting in the hot sun smells awful,1,31
The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,a bank vault,A bank vault is worthwhile.,A bank vault is meaningless.,0,33
The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,a bulldozer,A bulldozer was very motivating.,A bulldozer didn't work well.,0,34
The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,a light breeze,A light breeze was very motivating.,A light breeze didn't work well.,1,34
Money is a helpful stranger,Money is good,Money is bad,a helpful stranger,A helpful stranger is good,A helpful stranger is bad,0,36
Money is a murderer,Money is good,Money is bad,a murderer,A murderer is good,A murderer is bad,1,36
The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,the OJ Simpson trial,The oj simpson trial was long,The oj simpson trial was short,0,37
The conversation was a cigarette break,The conversation was long,The conversation was short,a cigarette break,A cigarette break was long,A cigarette break was short,1,37
The seas on the voyage were glass,The seas were calm,The seas were rough,glass,Glass were calm,Glass were rough,0,38
The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,a rock quarry,A rock quarry were calm,A rock quarry were rough,1,38
